lr-Adam/geometry,lr-Adam/variance,lr-Adam/albedo,lr-Adam/ambient,lr-Adam/blur,step,train/loss_rgb_mse_cam,train/loss_rgb_mse_proj,train/loss_rgb_l1_cam,train/loss_rgb_l1_proj,train/loss_eikonal,train/loss_mask,train/loss_sparsity,train/inv_s,train_params/lambda_rgb_mse,train_params/lambda_rgb_l1,train_params/lambda_mask,train_params/lambda_eikonal,train_params/lambda_sparsity,train/num_rays,epoch,val/psnr,test/psnr
8.561599999999997e-05,8.561599999999997e-05,0.0008561599999999993,0.0008561599999999993,0.0008561599999999993,49,,,,,,,,,,,,,,,,,
,,,,,49,0.06388183683156967,0.0,0.18635401129722595,0.0,0.35900259017944336,0.5379105806350708,0.8132258653640747,20.577556610107422,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,733.0,0,,
0.00016481599999999992,0.00016481599999999992,0.0016481599999999968,0.0016481599999999968,0.0016481599999999968,99,,,,,,,,,,,,,,,,,
,,,,,99,0.0020227155182510614,0.0,0.02618272788822651,0.0,0.2320771962404251,0.30852121114730835,0.7373247146606445,21.2864990234375,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,750.0,0,,
0.00024401599999999987,0.00024401599999999987,0.0024401599999999955,0.0024401599999999955,0.0024401599999999955,149,,,,,,,,,,,,,,,,,
,,,,,149,0.0008617402636446059,0.0,0.012208282016217709,0.0,0.21310807764530182,0.2843449115753174,0.7404348850250244,21.18378448486328,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,768.0,0,,
0.0003232159999999997,0.0003232159999999997,0.0032321599999999917,0.0032321599999999917,0.0032321599999999917,199,,,,,,,,,,,,,,,,,
,,,,,199,0.0004932104493491352,0.0,0.007760593667626381,0.0,0.20678523182868958,0.25504258275032043,0.7493325471878052,21.039823532104492,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,785.0,0,,
0.0004024159999999995,0.0004024159999999995,0.0040241599999999884,0.0040241599999999884,0.0040241599999999884,249,,,,,,,,,,,,,,,,,
,,,,,249,0.0006441836594603956,0.0,0.009281458333134651,0.0,0.19607239961624146,0.26025837659835815,0.7584193348884583,20.895112991333008,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,800.0,0,,
0.00048161599999999954,0.00048161599999999954,0.004816159999999982,0.004816159999999982,0.004816159999999982,299,,,,,,,,,,,,,,,,,
,,,,,299,0.0005159786087460816,0.0,0.008562070317566395,0.0,0.19293569028377533,0.2332461178302765,0.7654291391372681,20.811986923217773,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,808.0,0,,
0.0005608159999999991,0.0005608159999999991,0.0056081599999999844,0.0056081599999999844,0.0056081599999999844,349,,,,,,,,,,,,,,,,,
,,,,,349,0.0004670390335377306,0.0,0.007693396881222725,0.0,0.20072558522224426,0.20720091462135315,0.7717146277427673,20.837615966796875,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,818.0,0,,
0.0006400159999999984,0.0006400159999999984,0.006400159999999983,0.006400159999999983,0.006400159999999983,399,,,,,,,,,,,,,,,,,
,,,,,399,0.00040868439828045666,0.0,0.0070419106632471085,0.0,0.2083185315132141,0.14218869805335999,0.7717090249061584,21.0482177734375,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,837.0,0,,
0.0007192159999999982,0.0007192159999999982,0.007192159999999987,0.007192159999999987,0.007192159999999987,449,,,,,,,,,,,,,,,,,
,,,,,449,0.00037525358493439853,0.0,0.006382362451404333,0.0,0.20630097389221191,0.12510374188423157,0.7715280652046204,21.43672752380371,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,844.0,0,,
0.0007984159999999972,0.0007984159999999972,0.007984159999999985,0.007984159999999985,0.007984159999999985,499,,,,,,,,,,,,,,,,,
,,,,,499,0.00021210919658187777,0.0,0.0047194804064929485,0.0,0.1976148784160614,0.09068119525909424,0.7675694823265076,22.068973541259766,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,859.0,0,,
0.0007905550044973453,0.0007905550044973453,0.007905550044973461,0.007905550044973461,0.007905550044973461,549,,,,,,,,,,,,,,,,,
,,,,,549,0.0003322940901853144,0.0,0.0064828949980437756,0.0,0.19633981585502625,0.07112058997154236,0.7671889662742615,22.96598243713379,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,871.0,0,,
0.0007810321914414664,0.0007810321914414664,0.007810321914414667,0.007810321914414667,0.007810321914414667,599,,,,,,,,,,,,,,,,,
,,,,,599,0.00023324332141783088,0.0,0.005183713510632515,0.0,0.1938561648130417,0.05310066044330597,0.766778826713562,24.010761260986328,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,878.0,0,,
0.0007716240876315998,0.0007716240876315998,0.007716240876316002,0.007716240876316002,0.007716240876316002,649,,,,,,,,,,,,,,,,,
,,,,,649,0.00017926012515090406,0.0,0.004516838118433952,0.0,0.1858026087284088,0.03454798460006714,0.7624598145484924,25.097496032714844,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,894.0,0,,
0.000762329311311006,0.000762329311311006,0.00762329311311006,0.00762329311311006,0.00762329311311006,699,,,,,,,,,,,,,,,,,
